 ,Mean(Background),Mean(Cell1),Mean(Cell2),Mean(Cell3),Mean(Cell4),Mean(Cell5),Mean(Cell6),Mean(Cell7),Mean(Cell8),Mean(Cell9),Mean(Cell10),Mean(Cell11),Mean(Cell12)
34,178.804,1075.177,884.886,1112.940,1104.853,963.500,1053.433,937.865,1086.196,1005.736,933.910,1146.550,888.763
35,179.047,1077.125,886.761,1114.351,1109.353,963.847,1060.165,944.042,1081.549,1008.561,942.234,1155.014,888.177
36,178.833,1076.635,892.761,1116.475,1108.225,963.389,1052.474,945.896,1080.775,1011.330,945.303,1164.721,882.435
37,179.133,1077.062,895.364,1123.953,1113.902,969.069,1056.247,951.495,1078.088,1016.655,951.615,1172.386,881.075
38,179.069,1076.104,896.545,1130.769,1120.304,972.056,1050.990,950.797,1063.363,1022.962,955.275,1173.421,879.952
39,179.151,1072.312,898.830,1141.468,1118.382,975.167,1042.186,950.969,1048.490,1026.770,960.816,1184.143,873.210
40,179.244,1066.917,900.750,1148.124,1121.696,977.819,1040.928,949.839,1041.402,1031.238,963.479,1194.414,868.140
41,178.864,1064.688,900.159,1151.525,1124.598,978.778,1042.753,950.172,1029.255,1034.400,965.992,1200.829,866.070
42,178.804,1065.583,902.091,1157.512,1130.392,973.194,1048.392,949.552,1018.324,1038.856,968.086,1202.657,867.081
43,178.793,1062.531,901.057,1165.926,1132.677,972.861,1047.433,950.323,1008.657,1046.354,968.471,1205.507,868.634
44,178.755,1065.479,900.955,1171.906,1139.216,975.097,1051.546,951.328,997.147,1055.981,973.078,1204.221,871.183
45,179.004,1060.417,904.989,1177.100,1143.598,971.250,1052.021,952.432,989.471,1059.506,973.762,1210.650,871.086
46,179.162,1061.021,903.932,1184.913,1148.706,973.681,1055.505,953.719,983.235,1063.113,974.148,1210.686,872.677
47,178.993,1061.521,909.330,1192.950,1154.912,978.778,1056.072,955.333,970.039,1066.270,975.045,1210.971,876.038
48,179.049,1063.021,908.148,1194.421,1156.559,972.625,1061.423,953.729,967.176,1064.828,972.037,1209.271,872.097
49,179.085,1062.688,907.364,1199.977,1157.980,975.097,1067.206,956.729,963.235,1065.040,971.705,1209.886,872.054
50,179.227,1068.135,907.682,1199.579,1164.265,977.083,1072.495,960.167,962.167,1065.910,969.906,1213.800,871.134
51,179.096,1069.896,908.295,1197.819,1165.186,974.889,1078.670,961.990,967.000,1066.671,967.955,1212.586,868.575
52,178.913,1071.906,907.920,1198.558,1166.559,971.306,1082.464,962.953,966.882,1067.726,967.078,1217.171,865.366
53,178.942,1075.531,912.955,1206.682,1170.892,972.694,1090.814,964.833,961.353,1071.364,966.086,1213.971,868.882
54,178.916,1073.354,916.455,1216.505,1173.931,973.556,1097.516,967.286,954.912,1073.142,962.598,1215.671,869.796
55,179.082,1073.708,916.750,1224.462,1175.167,975.583,1101.103,968.854,947.912,1073.772,963.512,1208.007,871.038
56,178.882,1071.177,921.955,1231.207,1171.059,973.319,1108.876,970.385,942.049,1073.155,962.561,1206.693,872.785
57,178.856,1072.198,924.125,1238.846,1173.549,977.069,1120.227,969.302,935.294,1076.644,960.582,1206.443,872.360
58,178.809,1075.344,929.080,1245.020,1174.265,977.361,1128.031,967.875,930.500,1078.722,959.475,1207.979,873.457
59,178.724,1074.073,934.023,1253.853,1174.245,979.750,1137.732,967.443,927.735,1082.328,957.340,1209.943,874.452
60,178.795,1077.375,938.011,1263.545,1175.177,981.639,1148.732,967.490,921.941,1083.138,954.807,1209.571,874.349
61,178.607,1081.531,939.136,1270.381,1181.431,978.444,1153.536,967.432,922.490,1086.803,955.070,1213.707,876.124
62,179.047,1085.438,940.966,1278.826,1181.755,984.653,1164.650,968.729,918.814,1088.353,953.615,1215.114,877.495
63,178.700,1087.958,942.750,1284.863,1184.637,977.153,1165.381,968.479,915.814,1091.870,953.418,1212.079,877.215
64,178.798,1087.010,943.670,1290.211,1180.892,976.069,1170.361,965.589,914.863,1091.766,953.094,1210.971,878.866
65,178.682,1091.927,944.477,1290.632,1175.804,973.208,1177.608,966.182,916.510,1093.410,950.197,1209.243,876.785
66,178.673,1095.469,940.739,1284.157,1177.118,970.542,1182.289,967.479,920.686,1094.002,949.086,1211.936,874.597
67,178.871,1100.292,938.739,1278.341,1175.882,960.500,1189.732,970.625,924.294,1090.088,945.115,1212.921,873.683
68,178.447,1099.562,935.932,1271.615,1176.931,959.014,1190.186,972.078,925.392,1088.192,940.430,1214.100,873.489
69,178.978,1100.833,939.125,1274.669,1175.677,956.847,1187.577,969.688,919.392,1087.389,939.578,1213.100,873.328
70,178.649,1094.802,942.011,1280.077,1177.010,954.958,1185.113,965.396,916.578,1088.511,938.090,1210.257,875.156
71,178.540,1096.875,945.443,1284.117,1181.912,955.486,1187.804,964.026,915.696,1088.676,935.168,1206.957,873.527
72,178.680,1099.812,948.318,1287.187,1176.627,955.319,1186.619,965.849,911.627,1089.069,935.086,1205.071,871.038
73,178.493,1098.844,951.614,1293.662,1181.225,954.569,1189.454,962.510,910.363,1090.663,933.057,1206.936,872.726
74,178.435,1102.323,952.898,1295.669,1180.333,955.972,1189.484,965.651,910.490,1091.908,930.229,1202.707,872.081
75,178.324,1103.719,954.159,1298.462,1180.833,955.000,1189.598,961.484,911.284,1090.527,929.471,1201.579,870.129
76,178.222,1107.677,956.455,1301.415,1178.118,957.931,1187.546,962.391,911.353,1093.100,929.529,1202.293,871.527
77,178.135,1109.802,954.784,1305.211,1179.108,957.639,1185.835,958.302,908.912,1093.057,926.320,1196.943,873.038
78,177.998,1114.073,961.455,1307.585,1181.686,958.208,1186.979,956.969,904.078,1097.153,925.689,1193.971,874.210
79,178.055,1115.542,961.170,1309.746,1179.392,958.986,1189.732,954.109,908.108,1097.232,924.434,1196.229,874.161
80,177.924,1118.885,964.125,1313.849,1176.804,954.653,1188.433,957.229,906.608,1099.906,921.426,1191.814,875.898
81,178.362,1121.594,965.443,1310.294,1178.373,951.972,1189.505,959.016,906.755,1101.249,918.684,1189.629,878.253
82,178.276,1124.302,961.080,1302.040,1176.882,945.556,1184.165,962.208,912.971,1102.749,918.025,1188.957,875.833
83,178.227,1126.823,956.227,1297.338,1175.500,937.431,1184.247,964.823,913.863,1101.119,917.168,1189.357,875.608
84,178.429,1126.573,958.705,1299.298,1176.677,939.792,1179.907,967.073,914.324,1104.040,916.148,1185.193,876.263
85,178.071,1124.062,961.534,1305.110,1179.686,939.667,1175.917,965.484,910.059,1106.011,913.635,1183.357,876.892
86,178.087,1127.625,966.205,1312.779,1181.245,941.000,1170.557,967.167,912.275,1109.544,913.717,1181.257,876.575
87,178.158,1127.875,968.602,1319.947,1179.471,941.208,1169.814,966.729,906.833,1115.092,913.783,1176.671,875.468
88,178.225,1128.292,971.205,1326.973,1178.314,936.986,1168.165,965.099,903.627,1117.125,911.598,1176.436,875.919
89,177.947,1125.188,972.875,1330.997,1183.814,936.792,1166.783,963.604,898.961,1115.875,909.848,1169.243,874.199
90,177.869,1127.833,976.625,1336.462,1182.167,936.389,1164.041,961.734,896.010,1116.013,909.602,1167.443,872.806
91,178.084,1130.260,981.727,1344.181,1187.794,934.083,1166.093,961.010,898.500,1117.718,909.943,1166.129,870.419
92,177.524,1132.719,986.250,1352.987,1189.147,933.306,1166.000,962.422,894.186,1118.165,909.684,1161.393,871.140
93,178.093,1134.698,986.307,1357.712,1188.078,931.389,1163.423,960.542,895.784,1120.377,908.029,1160.207,870.753
94,178.055,1138.667,981.091,1352.552,1190.216,927.542,1168.577,960.062,900.363,1118.469,907.484,1160.457,866.774
95,177.945,1141.125,977.080,1344.334,1188.323,922.708,1168.103,963.604,905.598,1117.452,905.840,1161.286,863.301
96,178.087,1139.760,977.386,1340.535,1191.284,912.986,1166.443,968.510,909.333,1115.640,904.500,1162.800,862.608
97,177.965,1141.938,968.466,1333.736,1191.814,905.736,1165.144,969.438,913.461,1113.431,902.328,1161.214,857.849
98,177.576,1140.229,970.455,1338.361,1188.088,905.861,1163.083,969.703,912.833,1112.556,903.012,1154.221,856.694
99,177.858,1136.729,970.364,1340.261,1186.069,904.181,1159.588,968.005,909.922,1111.218,903.955,1148.500,855.118
100,177.995,1138.021,974.318,1343.411,1185.627,903.833,1154.722,969.052,911.225,1114.699,906.021,1142.514,854.602
101,177.787,1140.604,974.307,1348.545,1181.961,906.208,1154.361,968.141,909.157,1115.580,908.721,1138.014,854.484
102,177.698,1144.365,979.136,1353.538,1184.686,902.042,1154.206,965.875,910.480,1117.420,911.057,1133.650,853.995
103,177.438,1143.312,978.534,1355.331,1180.823,900.792,1153.237,966.323,910.176,1117.716,912.771,1132.314,852.199
104,177.680,1145.427,980.693,1359.482,1180.392,895.639,1154.083,966.432,910.627,1118.989,913.123,1129.750,850.328
105,177.822,1144.854,978.989,1365.625,1184.196,898.792,1154.361,967.688,907.480,1120.916,916.393,1132.093,850.973
106,177.538,1147.479,981.455,1369.599,1180.275,898.458,1150.567,967.333,908.500,1121.757,920.836,1127.221,848.640
107,177.331,1152.427,985.591,1375.722,1179.314,896.264,1149.237,970.724,905.333,1124.962,919.381,1124.079,847.860
108,177.607,1151.021,984.761,1377.224,1180.853,891.167,1147.711,969.292,905.882,1126.249,919.602,1125.679,844.280
109,177.351,1148.094,985.364,1381.522,1176.892,893.083,1143.773,970.365,904.010,1124.370,918.939,1121.829,842.651
110,177.482,1147.188,991.352,1386.472,1173.980,890.847,1141.629,973.547,901.353,1127.259,917.500,1120.271,844.962
111,177.747,1152.979,994.205,1393.786,1179.569,894.625,1148.557,977.557,908.657,1132.260,919.414,1125.393,845.446
112,177.295,1155.073,986.443,1386.769,1175.569,885.139,1149.454,980.547,906.716,1130.918,915.344,1123.107,844.145
113,177.704,1155.135,978.466,1377.652,1175.843,880.250,1151.371,982.688,909.412,1131.149,913.623,1122.864,839.790
114,177.324,1155.708,971.466,1368.592,1175.392,869.639,1153.000,984.172,912.441,1129.749,911.992,1127.143,837.280
115,177.782,1157.615,964.398,1359.656,1174.637,865.708,1158.433,985.005,916.775,1128.872,910.598,1128.514,835.801
116,177.713,1159.990,963.375,1357.973,1172.922,855.583,1158.258,985.797,920.588,1126.885,908.676,1127.579,834.398
117,177.269,1158.385,966.659,1363.712,1171.882,857.889,1150.876,984.401,919.696,1129.050,907.721,1127.729,836.979
118,177.327,1165.406,974.216,1372.398,1169.529,857.708,1149.423,986.224,917.735,1131.657,906.857,1126.621,835.328
119,177.264,1169.885,976.386,1374.669,1167.775,860.319,1150.031,983.901,915.912,1131.247,905.676,1125.057,834.946
120,177.285,1172.250,979.159,1381.625,1169.667,859.361,1147.948,984.026,910.725,1130.489,907.311,1125.586,833.425
121,177.378,1174.938,983.909,1384.753,1168.284,856.514,1140.783,983.057,910.588,1128.224,905.070,1123.214,835.645
122,177.515,1174.292,987.239,1387.679,1165.892,855.139,1144.680,982.219,909.078,1124.793,903.246,1124.050,836.355
123,177.271,1179.115,993.580,1391.853,1162.225,860.611,1143.237,980.484,904.569,1125.981,900.729,1121.121,837.457
124,177.122,1180.438,996.545,1392.910,1161.186,860.750,1140.113,978.469,903.020,1124.374,898.529,1120.257,835.559
125,177.207,1180.885,996.648,1393.863,1158.304,856.972,1140.268,980.031,901.255,1122.944,895.697,1116.457,837.269
126,177.045,1182.031,1002.227,1401.458,1159.549,855.597,1143.835,980.016,898.118,1126.391,895.680,1116.914,839.059
127,177.016,1182.979,1005.920,1403.629,1159.078,857.306,1141.650,979.875,896.873,1124.787,894.922,1116.400,843.484
128,177.189,1183.375,999.466,1398.746,1155.157,850.222,1146.381,979.010,898.539,1128.232,894.889,1119.000,844.414
129,177.273,1185.708,990.784,1390.043,1157.882,844.222,1151.041,981.818,901.657,1128.010,894.549,1124.829,843.086
130,177.215,1185.812,979.125,1380.950,1159.157,837.167,1156.113,988.500,907.716,1127.071,895.557,1125.229,845.511
131,176.916,1192.375,978.580,1382.388,1162.069,834.347,1162.577,988.833,905.510,1128.617,893.865,1126.414,844.860
132,177.011,1189.812,980.205,1386.181,1160.422,838.917,1162.959,987.906,903.029,1127.805,892.541,1124.279,846.247
133,176.904,1187.802,985.295,1392.375,1158.078,839.000,1160.124,984.568,901.549,1128.780,893.729,1125.914,847.871
134,176.753,1186.573,993.636,1398.354,1158.520,841.778,1164.124,985.990,896.049,1130.671,893.479,1125.007,851.699
135,176.638,1185.917,995.886,1402.171,1154.373,840.250,1159.536,982.620,896.990,1130.824,893.316,1122.786,852.258
136,176.578,1190.479,1011.534,1413.859,1160.716,841.681,1162.484,983.094,888.510,1138.303,896.697,1120.607,859.468
