 ,Mean(Background),Mean(Cell1),Mean(Cell2),Mean(Cell3),Mean(Cell4),Mean(Cell5),Mean(Cell6),Mean(Cell7),Mean(Cell8),Mean(Cell9),Mean(Cell10),Mean(Cell11),Mean(Cell12)
1,128.405,468.719,348.034,405.147,435.363,354.306,481.763,387.646,510.167,385.789,347.422,410.736,348.892
2,177.478,1093.583,773.114,927.926,1003.569,788.528,1129.474,874.417,1199.294,873.050,771.459,936.964,779.183
3,177.398,1090.177,773.977,932.646,999.706,792.861,1121.258,869.990,1188.912,875.490,767.865,930.586,784.054
4,177.362,1087.625,771.182,935.545,1001.402,790.528,1119.680,868.651,1183.608,877.630,767.262,928.836,787.683
5,176.518,1083.562,776.477,940.117,1000.912,789.903,1115.227,868.052,1175.265,878.981,765.840,929.214,792.194
6,176.798,1080.510,775.500,943.518,1005.804,793.083,1109.711,863.714,1163.039,879.594,764.447,925.179,794.774
7,176.609,1079.792,778.091,945.849,1002.863,794.444,1108.763,864.120,1151.971,881.341,764.250,921.993,799.258
8,176.651,1079.052,777.125,950.110,1007.529,794.486,1110.742,861.083,1146.471,884.230,764.246,920.007,806.624
9,176.585,1091.573,775.409,945.836,1003.157,785.667,1122.650,867.802,1153.490,886.247,760.016,926.529,807.086
10,176.311,1071.385,773.318,949.646,1010.490,806.722,1107.021,857.422,1133.971,877.751,763.734,920.371,806.086
11,176.635,1072.958,776.443,950.532,1016.000,814.486,1107.948,856.120,1132.843,877.207,761.750,922.143,805.962
12,176.404,1068.333,774.568,953.525,1017.333,821.542,1106.320,859.589,1125.843,879.119,765.148,925.779,804.220
13,176.464,1072.625,773.125,954.525,1018.696,823.931,1106.516,861.365,1127.833,878.579,764.771,924.679,803.753
14,176.775,1076.010,772.023,952.666,1018.343,820.542,1111.237,862.438,1131.167,877.770,765.660,928.250,802.237
15,176.938,1077.792,771.034,949.388,1019.814,817.944,1118.052,865.438,1135.980,876.697,767.205,936.279,799.333
16,176.558,1078.417,767.761,948.344,1022.490,813.361,1123.619,872.016,1148.569,874.864,767.693,943.343,799.328
17,176.925,1078.354,767.830,947.161,1020.941,811.222,1131.062,872.286,1157.265,877.067,770.258,947.621,794.887
18,176.536,1077.677,770.080,948.268,1019.598,808.514,1133.392,875.568,1150.627,879.347,769.074,947.636,798.462
19,176.591,1084.365,769.670,947.779,1015.784,805.125,1132.948,879.917,1151.059,885.393,769.369,949.879,803.860
20,177.102,1080.865,771.125,949.110,1018.755,809.722,1131.350,879.344,1149.431,885.554,769.680,945.493,802.726
21,177.587,1081.385,797.057,974.572,1048.892,837.917,1140.588,883.625,1172.294,887.458,783.217,958.164,810.796
22,178.904,1111.031,822.034,1019.294,1104.539,870.972,1184.546,911.609,1206.373,927.571,815.922,1001.100,852.376
23,182.951,1107.292,829.830,1035.933,1126.167,885.042,1195.773,918.255,1202.461,945.795,831.426,1020.293,862.812
24,179.180,1102.562,831.659,1044.729,1129.912,885.333,1193.052,918.401,1185.471,955.046,839.303,1028.143,865.048
25,178.782,1096.354,832.636,1053.565,1131.088,888.639,1190.474,920.339,1172.245,965.069,851.648,1038.414,867.134
26,179.193,1091.010,836.239,1061.428,1126.480,891.375,1185.959,923.135,1162.500,971.820,864.852,1049.214,872.382
27,179.153,1087.958,849.068,1078.187,1124.127,906.056,1161.072,921.453,1150.265,981.841,875.393,1060.064,881.226
28,179.182,1079.448,859.864,1089.903,1119.549,924.889,1127.742,919.745,1130.431,986.142,886.701,1070.114,887.226
29,178.753,1077.573,867.500,1100.806,1118.167,936.819,1103.474,920.562,1114.902,989.843,896.811,1086.250,889.538
30,179.056,1071.906,872.364,1108.632,1114.765,945.806,1084.278,922.198,1098.196,995.670,906.143,1097.114,892.312
31,179.035,1073.542,878.114,1114.572,1112.167,956.042,1073.505,924.854,1085.373,1001.146,913.299,1105.236,892.532
32,178.625,1074.188,878.489,1114.482,1106.843,961.972,1063.711,931.151,1088.294,1002.481,920.229,1122.279,892.290
33,178.789,1075.021,880.057,1114.187,1104.931,960.792,1059.505,934.729,1086.412,1003.492,927.537,1133.093,891.285
