 ,Mean(Background),Mean(Cell1),Mean(Cell2),Mean(Cell3),Mean(Cell4),Mean(Cell5),Mean(Cell6),Mean(Cell7),Mean(Cell8),Mean(Cell9),Mean(Cell10),Mean(Cell11),Mean(Cell12)
40,194.856,1448.542,1216.682,1573.719,1454.725,1280.500,1387.000,1279.125,1415.706,1239.197,1197.000,1527.179,1194.828
41,195.071,1445.875,1217.182,1583.064,1459.745,1278.083,1396.155,1280.172,1401.892,1245.017,1201.795,1537.779,1192.780
42,194.898,1444.292,1217.648,1589.268,1463.216,1273.139,1392.887,1278.922,1378.784,1248.747,1202.971,1536.743,1190.258
43,194.727,1436.667,1212.409,1593.448,1468.049,1268.931,1393.660,1279.406,1364.480,1259.500,1206.086,1537.657,1191.129
44,194.998,1430.229,1216.216,1601.405,1476.804,1264.667,1397.959,1283.156,1356.765,1271.379,1207.574,1542.921,1195.656
45,194.785,1430.062,1215.795,1608.435,1481.010,1266.736,1399.392,1282.542,1338.059,1274.102,1206.648,1540.993,1196.339
46,194.633,1427.531,1215.614,1616.381,1486.147,1268.639,1400.546,1288.328,1325.029,1279.172,1208.582,1543.400,1196.269
47,194.736,1423.948,1215.080,1622.435,1490.618,1265.028,1399.732,1288.599,1314.118,1280.868,1209.881,1546.914,1196.382
48,194.733,1427.135,1216.409,1625.331,1493.745,1263.542,1403.516,1288.151,1311.833,1280.669,1207.787,1543.600,1195.489
49,195.084,1427.146,1219.239,1630.662,1498.588,1264.208,1412.876,1292.286,1306.137,1277.443,1202.156,1546.293,1193.737
50,194.884,1427.406,1215.273,1632.906,1504.392,1268.347,1424.113,1295.224,1305.804,1280.257,1200.271,1547.586,1192.290
51,194.955,1434.635,1218.523,1630.599,1505.451,1260.319,1434.505,1300.219,1313.490,1280.481,1199.312,1553.486,1185.065
52,195.053,1437.854,1221.795,1635.970,1509.039,1256.944,1444.010,1300.854,1309.294,1281.981,1195.693,1554.886,1184.925
53,194.676,1435.427,1223.114,1643.247,1510.304,1254.431,1448.629,1302.490,1301.569,1287.538,1193.168,1554.050,1185.398
54,194.964,1430.969,1222.909,1650.866,1507.363,1251.347,1448.845,1303.667,1294.539,1286.849,1187.852,1546.400,1188.177
55,194.720,1430.927,1230.989,1664.462,1509.833,1256.500,1461.691,1307.599,1280.823,1286.565,1188.451,1539.550,1188.392
56,194.700,1430.344,1229.750,1673.716,1511.147,1256.500,1475.979,1309.615,1272.823,1288.525,1189.623,1536.671,1190.414
57,194.409,1426.385,1233.341,1680.144,1507.157,1253.625,1486.227,1309.990,1260.578,1290.109,1188.922,1536.857,1188.839
58,194.627,1428.417,1240.636,1689.074,1509.922,1253.208,1497.979,1307.542,1257.402,1293.787,1184.631,1539.500,1189.581
59,194.842,1431.375,1242.261,1698.197,1508.863,1259.431,1508.598,1306.339,1248.206,1293.780,1178.705,1539.921,1186.602
60,194.493,1430.906,1242.761,1705.050,1506.000,1256.403,1520.773,1307.047,1241.823,1296.262,1176.766,1539.514,1188.796
61,194.262,1432.438,1243.659,1715.599,1510.225,1255.431,1532.000,1306.833,1241.049,1297.536,1174.877,1540.386,1189.871
62,196.065,1437.906,1245.625,1722.194,1512.951,1251.292,1534.113,1308.406,1235.275,1303.400,1176.057,1541.836,1195.452
63,195.322,1438.000,1249.511,1733.649,1511.529,1248.708,1541.969,1306.562,1231.598,1303.387,1174.955,1540.421,1192.048
64,194.685,1442.562,1251.250,1737.672,1505.598,1245.194,1552.546,1304.396,1230.304,1305.462,1172.057,1537.086,1190.489
65,194.227,1446.469,1248.057,1734.756,1502.637,1240.056,1552.495,1302.396,1234.382,1306.799,1169.320,1539.693,1187.484
66,194.509,1452.542,1245.318,1726.405,1505.431,1237.319,1563.196,1307.396,1240.314,1306.144,1166.582,1545.379,1185.000
67,195.307,1459.000,1246.670,1719.321,1501.765,1225.125,1571.835,1310.536,1242.804,1299.701,1162.971,1547.693,1183.344
68,194.584,1460.010,1245.932,1713.692,1504.059,1216.028,1574.887,1311.172,1245.049,1296.590,1156.521,1546.679,1178.973
69,196.236,1454.229,1245.864,1720.368,1511.667,1221.889,1571.052,1311.474,1239.657,1298.224,1155.836,1543.857,1180.387
70,194.358,1447.573,1246.625,1723.388,1506.539,1214.944,1570.093,1303.448,1235.431,1297.123,1153.930,1538.286,1180.188
71,194.065,1448.125,1251.750,1729.482,1503.843,1215.667,1570.567,1302.240,1228.275,1298.353,1152.352,1537.521,1177.817
72,194.191,1447.615,1250.250,1732.234,1505.255,1215.403,1567.340,1302.505,1221.686,1300.232,1150.119,1533.693,1176.548
73,194.231,1447.760,1257.023,1740.164,1509.333,1216.000,1572.289,1301.807,1222.637,1301.364,1149.934,1533.629,1176.737
74,194.385,1448.458,1257.966,1746.181,1508.461,1217.181,1572.412,1297.906,1219.745,1303.400,1147.447,1532.986,1175.194
75,193.849,1450.698,1253.943,1742.602,1504.157,1219.347,1566.959,1294.036,1217.304,1302.197,1144.275,1524.136,1172.118
76,194.002,1457.438,1255.011,1746.508,1507.863,1216.611,1566.155,1291.219,1217.794,1304.764,1139.762,1523.250,1176.113
77,195.115,1459.448,1259.295,1752.147,1505.069,1221.750,1564.928,1286.854,1217.402,1307.136,1140.938,1519.250,1179.285
78,193.751,1464.073,1259.761,1750.957,1503.892,1216.042,1566.619,1284.812,1218.510,1309.324,1136.852,1511.586,1176.382
79,193.838,1467.271,1262.818,1757.421,1501.500,1213.958,1569.041,1281.432,1214.823,1311.402,1133.807,1511.071,1180.565
80,193.747,1467.052,1260.864,1755.756,1498.382,1210.361,1569.000,1282.120,1208.216,1313.946,1130.344,1509.550,1181.403
81,193.847,1470.427,1257.159,1752.906,1500.314,1206.736,1564.783,1286.318,1218.216,1313.195,1127.643,1506.407,1180.258
82,193.918,1476.781,1260.114,1743.348,1498.775,1201.861,1561.526,1291.156,1222.304,1313.875,1128.549,1508.800,1177.457
83,194.025,1476.083,1260.670,1739.692,1503.667,1198.056,1562.619,1295.344,1224.059,1313.071,1125.812,1508.321,1176.892
84,194.124,1479.625,1258.523,1742.659,1500.765,1193.181,1555.794,1297.297,1225.294,1317.519,1123.971,1504.143,1178.995
85,193.613,1470.583,1264.443,1748.672,1500.980,1193.819,1549.856,1294.734,1217.039,1319.644,1120.086,1498.800,1178.005
86,194.038,1473.938,1264.739,1760.187,1505.245,1194.500,1545.505,1297.292,1210.578,1324.320,1122.049,1498.593,1177.645
87,193.820,1473.448,1267.000,1767.147,1508.147,1192.431,1539.433,1294.979,1210.882,1330.787,1120.197,1491.500,1177.747
88,193.882,1474.375,1269.807,1774.207,1502.951,1192.694,1539.701,1291.693,1206.363,1333.726,1117.910,1489.786,1175.661
89,193.478,1472.990,1270.898,1779.826,1505.853,1190.722,1540.340,1291.089,1203.677,1331.130,1117.344,1483.729,1174.032
90,193.609,1476.635,1272.239,1787.388,1508.627,1190.542,1534.866,1287.797,1199.598,1330.408,1117.094,1481.271,1170.769
91,193.645,1479.552,1275.500,1798.304,1513.647,1184.417,1537.608,1286.719,1197.755,1334.603,1114.525,1479.400,1168.667
92,193.189,1481.656,1278.716,1808.702,1512.323,1181.458,1538.052,1287.812,1196.627,1335.400,1112.713,1471.471,1171.097
93,193.298,1489.125,1280.341,1810.619,1515.529,1180.764,1541.217,1286.432,1198.137,1335.021,1112.176,1470.514,1170.140
94,193.509,1491.333,1273.739,1805.298,1515.088,1174.556,1539.691,1288.922,1204.598,1335.864,1111.582,1472.564,1162.602
95,193.704,1495.448,1270.670,1795.977,1513.422,1162.847,1541.959,1294.865,1214.971,1333.128,1110.127,1477.857,1160.817
96,194.084,1495.792,1269.068,1790.415,1516.745,1155.278,1544.371,1299.286,1221.431,1330.220,1107.832,1479.150,1154.876
97,193.485,1499.771,1263.989,1785.187,1513.725,1145.611,1538.546,1298.047,1224.647,1326.046,1105.857,1472.943,1151.661
98,193.500,1495.323,1266.420,1788.094,1511.961,1146.667,1531.536,1298.948,1225.892,1324.998,1104.984,1463.429,1148.317
99,193.540,1494.073,1263.580,1791.646,1508.696,1146.194,1523.577,1296.057,1220.627,1326.134,1105.820,1457.236,1146.452
100,193.678,1488.917,1263.409,1791.866,1506.863,1144.792,1520.124,1295.714,1217.618,1327.889,1108.787,1446.557,1144.898
101,192.967,1496.240,1265.784,1801.746,1502.000,1144.014,1518.412,1292.885,1218.029,1331.672,1110.582,1440.771,1146.027
102,192.913,1496.042,1266.159,1803.642,1499.471,1139.375,1515.907,1293.167,1216.235,1333.592,1111.889,1433.471,1146.758
103,193.142,1501.177,1267.795,1808.251,1497.961,1140.486,1520.041,1290.974,1217.755,1335.975,1114.812,1433.050,1140.296
104,193.505,1496.844,1266.489,1810.967,1494.471,1134.028,1515.505,1290.354,1216.118,1336.341,1116.049,1429.271,1142.355
105,193.029,1496.885,1265.352,1818.686,1491.892,1128.611,1514.917,1291.859,1215.647,1337.755,1121.234,1428.114,1137.634
106,193.185,1499.229,1268.705,1824.251,1488.402,1127.139,1512.773,1289.823,1209.863,1338.646,1123.619,1423.843,1134.581
107,193.158,1503.896,1265.193,1828.712,1491.049,1125.903,1509.979,1292.630,1209.294,1341.784,1124.078,1422.914,1137.801
108,192.845,1501.854,1267.250,1829.836,1486.804,1122.167,1503.557,1293.589,1205.647,1342.613,1121.488,1423.950,1129.677
109,192.765,1498.146,1267.227,1835.763,1483.637,1118.639,1503.887,1295.302,1203.177,1345.770,1120.602,1419.364,1129.301
110,193.376,1499.865,1270.648,1840.652,1481.078,1118.028,1504.516,1296.740,1204.892,1347.966,1119.967,1419.321,1130.516
111,193.493,1504.792,1271.432,1846.836,1486.569,1122.514,1503.887,1301.839,1207.441,1352.588,1119.512,1421.393,1132.656
112,192.771,1506.000,1264.364,1840.742,1481.696,1107.403,1509.381,1307.161,1212.098,1353.431,1117.160,1424.057,1129.473
113,193.382,1510.333,1260.125,1828.652,1483.765,1099.653,1512.608,1309.969,1213.990,1352.460,1114.721,1425.000,1123.694
114,192.889,1512.302,1252.830,1818.291,1486.098,1096.778,1519.423,1311.547,1218.108,1349.103,1111.844,1429.921,1119.479
115,193.349,1520.333,1245.841,1808.793,1483.314,1084.014,1522.361,1316.927,1228.294,1344.573,1110.266,1431.007,1115.925
116,193.407,1525.448,1246.761,1809.365,1483.402,1078.972,1519.876,1313.490,1231.716,1345.676,1109.590,1431.021,1114.323
117,193.413,1522.375,1252.852,1817.237,1477.677,1078.625,1513.113,1312.047,1225.157,1348.881,1107.279,1426.936,1117.500
118,192.709,1527.656,1250.216,1824.906,1479.196,1079.653,1513.907,1312.344,1225.716,1353.121,1106.504,1426.350,1114.511
119,192.989,1530.688,1257.330,1830.017,1478.725,1082.125,1506.278,1309.521,1222.971,1350.278,1106.865,1423.029,1110.360
120,193.002,1534.042,1257.273,1835.763,1473.667,1079.861,1503.588,1307.521,1217.549,1348.423,1104.512,1422.879,1112.710
121,192.824,1538.260,1259.898,1841.488,1471.922,1076.000,1499.443,1308.490,1214.549,1348.172,1101.664,1421.593,1112.817
122,192.549,1538.802,1266.375,1845.227,1466.637,1074.611,1500.433,1304.318,1208.735,1343.814,1099.266,1420.100,1113.989
123,192.709,1544.635,1271.648,1847.763,1467.873,1077.611,1496.516,1301.500,1205.745,1344.715,1096.365,1414.186,1115.317
124,192.876,1546.281,1274.000,1851.679,1463.823,1074.847,1495.526,1299.708,1200.804,1344.531,1092.127,1409.486,1114.118
125,192.345,1548.292,1270.659,1850.528,1458.323,1072.764,1496.381,1302.073,1199.245,1341.084,1090.635,1405.557,1114.091
126,192.342,1551.458,1277.216,1856.030,1461.137,1072.542,1496.907,1303.583,1194.784,1345.782,1090.266,1405.629,1118.355
127,192.138,1550.260,1274.568,1857.870,1457.216,1071.417,1495.031,1299.724,1190.020,1345.682,1089.906,1407.643,1121.398
128,192.625,1550.417,1267.989,1850.558,1456.088,1065.458,1499.010,1303.995,1195.196,1346.711,1088.627,1406.136,1122.479
129,192.073,1559.146,1259.068,1839.545,1458.343,1058.347,1505.794,1306.349,1202.284,1345.596,1087.094,1411.257,1123.597
130,192.824,1562.979,1248.432,1833.291,1457.775,1050.139,1516.072,1313.396,1207.490,1344.121,1087.336,1413.786,1121.597
131,192.447,1562.917,1243.864,1833.485,1457.157,1051.931,1523.938,1312.443,1204.029,1343.345,1084.664,1413.400,1120.892
132,192.438,1566.240,1245.057,1839.177,1458.137,1053.139,1523.557,1310.271,1197.608,1344.816,1085.057,1410.871,1121.806
133,192.204,1559.125,1255.193,1844.314,1458.049,1054.625,1523.845,1311.729,1193.078,1344.676,1084.369,1408.907,1123.435
134,192.091,1558.573,1258.170,1854.301,1453.196,1054.861,1519.742,1309.583,1191.294,1348.192,1083.934,1409.914,1130.624
135,192.091,1555.979,1264.386,1859.104,1453.598,1050.694,1519.866,1305.438,1186.902,1350.138,1085.176,1403.529,1130.758
136,192.018,1552.729,1269.364,1863.809,1450.745,1054.833,1519.412,1305.391,1181.177,1353.471,1085.045,1399.971,1136.532
137,191.947,1558.677,1272.227,1871.288,1456.775,1052.819,1516.505,1304.438,1183.412,1358.544,1087.217,1405.400,1139.559
138,192.111,1558.604,1274.136,1869.672,1457.284,1050.556,1517.691,1304.620,1178.157,1358.943,1085.967,1398.929,1139.344
