 ,Mean(Background),Mean(Cell1),Mean(Cell2),Mean(Cell3),Mean(Cell4),Mean(Cell5),Mean(Cell6),Mean(Cell7),Mean(Cell8),Mean(Cell9),Mean(Cell10),Mean(Cell11),Mean(Cell12)
1,139.264,687.208,506.920,609.094,626.882,496.778,731.103,569.615,774.980,514.872,476.832,580.843,523.419
2,199.556,1668.573,1198.875,1478.411,1508.373,1168.875,1792.144,1358.146,1899.275,1217.680,1110.479,1382.200,1258.866
3,199.342,1658.594,1195.716,1484.508,1504.461,1176.375,1775.650,1347.276,1882.078,1220.073,1108.668,1375.386,1266.661
4,199.071,1651.375,1193.682,1483.027,1503.098,1168.458,1772.350,1342.214,1865.608,1220.527,1105.521,1369.257,1273.086
5,199.327,1643.500,1198.000,1488.395,1502.088,1165.917,1761.907,1333.333,1848.235,1218.920,1099.914,1362.114,1277.823
6,198.838,1640.958,1201.591,1493.227,1499.392,1166.847,1752.928,1325.583,1827.069,1218.059,1096.873,1353.143,1286.091
7,198.340,1636.281,1196.966,1494.030,1499.343,1166.681,1746.392,1321.906,1805.235,1218.466,1094.459,1348.821,1290.742
8,198.404,1638.979,1196.852,1497.639,1498.490,1166.278,1748.010,1318.844,1793.520,1219.533,1093.188,1346.279,1295.935
9,198.067,1625.344,1196.170,1495.010,1501.892,1174.986,1740.814,1312.615,1779.814,1213.922,1088.771,1344.993,1295.882
10,198.185,1623.271,1193.205,1495.027,1503.059,1185.500,1738.443,1308.646,1772.549,1205.080,1088.217,1347.607,1292.801
11,198.220,1630.177,1190.091,1493.823,1503.794,1200.486,1737.083,1306.990,1762.804,1205.098,1087.045,1347.457,1292.624
12,198.024,1618.677,1184.443,1496.144,1509.137,1207.708,1729.577,1306.839,1752.275,1206.151,1086.631,1345.086,1288.581
13,198.095,1618.052,1182.614,1497.736,1506.029,1208.097,1729.350,1310.464,1749.225,1204.906,1088.533,1344.421,1283.602
14,198.405,1625.198,1185.818,1492.411,1507.510,1203.306,1735.660,1312.859,1757.686,1202.584,1090.332,1357.221,1280.763
15,198.258,1626.115,1181.920,1486.512,1507.804,1197.708,1746.062,1319.130,1769.696,1197.634,1091.324,1365.257,1273.140
16,197.935,1630.438,1179.705,1486.234,1507.569,1189.000,1757.629,1325.896,1780.608,1197.885,1093.070,1376.900,1270.237
17,197.869,1628.656,1178.898,1483.806,1508.039,1182.472,1773.247,1327.734,1792.363,1196.270,1092.488,1382.400,1264.554
18,197.611,1625.531,1177.648,1482.475,1501.725,1179.236,1767.979,1329.724,1785.569,1200.393,1090.881,1379.043,1271.129
19,196.824,1632.521,1170.182,1505.375,1512.853,1173.583,1773.753,1376.995,1673.186,1241.941,1094.197,1406.943,1283.591
20,198.509,1633.458,1176.455,1488.375,1503.275,1180.861,1762.701,1338.656,1760.304,1215.013,1087.598,1375.579,1277.774
21,197.244,1570.177,1160.261,1451.622,1502.667,1178.750,1693.320,1282.401,1733.598,1168.287,1071.238,1334.529,1237.731
22,197.976,1528.865,1143.091,1432.264,1477.177,1151.542,1635.299,1252.307,1683.853,1150.174,1040.725,1300.543,1225.048
23,196.465,1507.406,1137.705,1434.147,1475.284,1150.375,1626.072,1242.958,1663.471,1153.121,1042.119,1306.879,1220.349
24,195.267,1502.417,1137.216,1445.375,1472.255,1144.903,1617.340,1241.214,1639.745,1160.619,1051.959,1313.771,1220.081
25,195.096,1494.240,1136.648,1455.124,1470.882,1151.167,1609.928,1245.724,1619.147,1169.782,1065.086,1327.671,1221.839
26,195.178,1483.823,1144.670,1463.224,1463.657,1167.375,1597.433,1243.073,1601.275,1175.102,1082.242,1339.000,1228.140
27,194.982,1473.792,1158.636,1489.134,1459.667,1188.347,1549.278,1239.229,1579.598,1186.046,1094.812,1352.271,1236.237
28,194.891,1463.781,1171.795,1503.442,1454.686,1210.472,1507.350,1238.714,1551.882,1189.705,1106.512,1364.507,1239.387
29,194.816,1455.333,1177.193,1513.836,1449.618,1228.306,1477.423,1239.406,1521.078,1192.427,1120.111,1382.229,1239.935
30,194.620,1451.031,1187.057,1523.900,1439.569,1244.208,1453.526,1241.354,1500.539,1201.178,1131.725,1396.521,1239.979
31,194.520,1449.719,1194.545,1530.619,1437.177,1254.028,1431.866,1243.510,1489.657,1205.573,1140.172,1414.064,1239.758
32,194.642,1457.062,1198.182,1529.913,1435.696,1265.667,1420.526,1253.870,1486.706,1209.078,1150.729,1434.350,1235.425
33,194.538,1457.000,1201.636,1530.880,1433.863,1265.889,1416.979,1260.068,1486.167,1209.314,1157.049,1448.371,1232.333
34,194.535,1463.240,1203.500,1532.134,1432.931,1265.569,1410.371,1268.552,1486.373,1211.557,1167.090,1464.243,1229.441
35,194.998,1468.458,1209.602,1537.385,1439.196,1268.347,1414.691,1273.411,1483.363,1214.728,1175.332,1474.971,1225.204
36,195.196,1465.958,1215.193,1541.953,1439.206,1268.972,1406.907,1278.599,1480.500,1218.188,1180.910,1486.557,1219.726
37,195.127,1470.927,1216.773,1549.120,1451.186,1271.847,1407.227,1283.984,1471.520,1221.446,1189.033,1497.900,1214.758
38,195.116,1463.635,1215.295,1560.007,1452.627,1282.403,1401.206,1279.995,1447.216,1229.573,1190.873,1496.936,1212.747
39,195.029,1452.479,1216.398,1567.819,1451.441,1281.528,1387.423,1278.208,1426.637,1233.069,1194.438,1514.564,1202.220
